1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
18.8,19.1,37.9,33.7,26.6,25.4,17.8,20.2,23.3,27.1,29.9,30,23.7,30,23.7,28,28.7,24.8,29.3,23.5,24.3,28.2
289.8,255.7,240.4,217.6,262.5,311.6,365.4,364.3,346.2,299.4,242.3,223.1,246.2,299.3,295,350.1,256.8,256.5,257.3,312.6,350.3,373.4
31,21.4,17.3,21.3,22.8,14.9,22.3,24.9,17.8,18.8,16.6,13.9,26.2,30.5,31.5,15.5,20,24.9,33.9,28,29.5,18.8
866.6,723,652.4,684.3,732.3,712.3,715.3,938.6,785.7,715.7,622.4,555.4,614.6,1009.1,806.6,754.1,663.4,531.4,712.5,705.2,838.2,725.2
191.3,188.8,152.4,151.6,155.8,185.9,177.6,186.4,186.6,178.5,168.6,161.4,155.6,190.1,180.1,206.9,177.4,162.6,155.8,155.1,186.7,178.3
47.7,45.7,70.7,155.7,141.1,105.8,189.3,114.5,43.6,41.4,82.1,177.6,203.2,134.8,89.7,53.3,73.2,149.4,185.6,156.4,95.4,56.7
36.7,38.4,26.6,28,28.7,18.6,26.4,26.7,26.1,29.8,28.3,38.2,38,37,39.2,33.9,35.8,42.1,36.7,42.8,32.1,27.4
83.2,34,31.7,69.2,82.4,58.9,76.4,110.5,50.5,28.4,12.9,29.8,68.5,112.4,81.9,30.5,24.7,37.6,76.9,92.3,68.4,55
68.3,60.1,37.8,52.5,67.7,42.9,63.6,47.1,39.4,31,34.5,22.3,29.1,42.9,47.8,50.1,41.6,34.6,34.6,50.1,66.5,62.4
263.7,299.2,269.5,267.8,267.5,271.1,271,246.7,215.9,224.3,226.6,215.9,212.2,213.7,225.5,212.5,200.7,212.2,210.1,196.2,237.4,184
182.8,185.7,179.4,164.1,208.5,141.9,142.6,168,144.9,160.1,142,147.8,166.2,156.5,156.6,143.5,144.2,140.9,139.9,163.9,156.3,152.9
299.8,342.3,318.3,326.5,276.9,256.4,291.1,278.3,272.7,268,247.3,244.1,253.6,289.2,302.1,294.2,281.9,253.1,266.3,306.3,313,290
176.5,211.5,192.2,171.5,160.9,88.8,133.3,123.7,99.9,194.9,195.8,153.7,121.8,131.4,162.5,196.1,205.3,165.1,132.2,134.7,147.9,174.6
163,148.9,130.3,133.2,146.9,145.2,166.4,166.1,145.9,147.8,146.8,116.3,122.1,152.8,174.7,149.8,145.7,135.5,147.8,153.9,173.3,144.8
217.1,202.6,197.9,226.7,222.6,145.8,173.1,193.1,172.3,192.8,157.3,160.6,159,188,179.4,176.2,167.2,182.8,179.3,188.7,184.1,169.8
96.1,86.9,94.2,96.9,85.3,76.4,89.9,81,93.6,102.9,146.8,118.4,106.1,94.8,90.1,114,130.8,133.8,127.3,132,102.9,102.8
178.1,151.6,140.9,156.6,168.8,144.9,131.9,171.4,134.7,136.1,132.6,134.3,166.8,182.4,140.2,154.9,135,166.4,160.9,160.7,164.4,136.3
34.5,40.1,21.6,28.7,28.4,23.2,22.2,27.7,43.5,35.6,44.5,38.2,38.1,48.1,39.7,36.6,56.4,43,51.6,30.1,30.6,31.7
1.8,0.6,1.8,0.4,0.9,2.7,8.1,0.5,0.7,1.1,0.4,0.4,0.5,1.3,0.7,0.8,1.1,0.8,0.7,0.5,3.4,0.8
2,2.7,2.4,13.5,2.5,11.9,9.8,6.9,8.3,2.6,9.5,7.9,10.2,11.8,3.3,12.3,4,2.4,8.7,6.1,8,8.6
95.7,86.6,67.6,81.9,95.1,100.2,108.5,86.4,99.1,94.8,96.3,105.1,105.9,96.1,94.4,91.9,87.7,100.2,105.1,100.5,97.4,87.7
